iter	Passed	Remaining
617	176550	217116
618	176804	216792
619	177076	216490
620	177359	216200
621	177613	215877
622	177887	215577
623	178134	215245
624	178419	214959
625	178670	214633
626	178938	214327
627	179192	214003
628	179482	213723
629	179732	213397
630	180013	213106
631	180265	212781
632	180546	212491
633	180794	212162
634	181060	211854
635	181307	211525
636	181594	211242
637	181839	210911
638	182109	210609
639	182372	210298
640	182675	210033
641	182956	209745
642	183225	209441
643	183509	209154
644	183760	208831
645	184010	208506
646	184295	208222
647	184577	207933
648	184824	207607
649	185097	207309
650	185350	206989
651	185627	206696
652	185878	206373
653	186145	206069
654	186395	205746
655	186674	205455
656	186926	205135
657	187195	204834
658	187446	204512
659	187736	204234
660	188081	204015
661	188389	203756
662	188692	203491
663	188957	203186
664	189213	202870
665	189468	202555
666	189751	202268
667	190006	201953
668	190273	201650
669	190528	201334
670	190811	201048
671	191066	200733
672	191347	200445
673	191608	200137
674	191898	199859
675	192150	199540
676	192437	199260
677	192688	198940
678	192980	198664
679	193231	198346
680	193504	198050
681	193756	197734
682	194049	197458
683	194299	197140
684	194571	196844
685	194823	196527
686	195115	196251
687	195366	195934
688	195641	195641
689	195905	195338
690	196187	195052
691	196439	194736
692	196711	194441
693	196997	194159
694	197249	193844
695	197500	193527
696	197768	193228
697	198062	192955
698	198316	192641
699	198589	192348
700	198843	192035
701	199128	191753
702	199379	191437
703	199653	191145
704	199914	190840
705	200201	190560
706	200454	190247
707	200719	189946
708	200972	189634
709	201271	189365
710	201524	189053
711	201799	188761
712	202044	188443
713	202328	188159
714	202573	187840
715	202843	187545
716	203090	187228
717	203377	186949
718	203629	186637
719	203902	186344
720	204152	186030
721	204438	185749
722	204687	185436
723	205123	185291
724	205522	185111
725	205893	184907
726	206188	184633
727	206492	184368
728	206761	184071
729	207056	183798
730	207324	183500
731	207642	183247
732	207914	182953
733	208183	182657
734	208469	182375
735	208729	182071
736	209009	181784
737	209260	181472
738	209546	181191
739	209801	180883
740	210100	180612
741	210373	180320
742	210686	180061
743	211086	179877
744	211532	179731
745	211945	179557
746	212279	179314
747	212617	179076
748	212996	178871
749	213325	178624
750	213578	178313
751	213851	178019
752	214119	177722
753	214426	177456
754	214735	177192
755	215034	176919
756	215359	176669
757	215726	176451
758	216020	176174
759	216325	175906
760	216593	175608
761	216904	175345
762	217182	175055
763	217476	174778
764	217755	174489
765	218142	174286
766	218444	174014
767	218725	173727
768	219021	173451
769	219273	173140
770	219547	172847
771	219803	172540
772	220098	172263
773	220356	171958
774	220635	171668
775	220909	171375
776	221178	171078
777	221429	170768
778	221700	170473
779	221976	170181
780	222231	169874
781	222484	169566
782	222763	169277
783	223045	168991
784	223310	168692
785	223596	168408
786	223851	168102
787	224140	167820
788	224394	167513
789	224667	167220
790	224926	166917
791	225216	166637
792	225493	166347
793	225830	166101
794	226160	165850
795	226449	165570
796	226739	165289
797	226995	164983
798	227281	164700
799	227536	164394
800	227822	164111
801	228075	163804
802	228363	163522
803	228615	163215
804	228896	162928
805	229146	162620
806	229438	162341
807	229689	162033
808	229970	161746
809	230223	161440
810	230513	161160
811	230766	160854
812	231065	160580
813	231340	160289
814	231610	159995
815	231864	159690
816	232140	159401
817	232427	159119
818	232682	158814
819	232958	158525
820	233232	158234
821	233676	158058
822	233937	157758
823	234213	157468
824	234511	157193
825	234767	156890
826	235046	156602
827	235302	156299
828	235589	156017
829	235840	155711
830	236125	155427
831	236380	155125
832	236669	154843
833	236921	154538
834	237197	154249
835	237450	153945
836	237741	153665
837	237995	153362
838	238279	153078
839	238532	152774
840	238826	152496
841	239078	152192
842	239437	151956
843	239745	151687
844	239997	151382
845	240797	151423
846	241047	151117
847	241323	150826
848	241567	150517
849	241814	150209
850	242074	149910
851	242351	149620
852	242597	149312
853	242913	149047
854	243161	148740
855	243444	148455
856	243692	148149
857	243966	147858
858	244220	147555
859	244507	147272
860	244760	146970
861	245034	146679
862	245287	146376
863	245582	146099
864	245834	145795
865	246127	145516
866	246393	145221
867	246687	144943
868	246939	144639
869	247220	144354
870	247473	144052
871	247771	143775
872	248028	143475
873	248322	143197
874	248613	142917
875	248872	142618
876	249131	142320
877	249389	142021
878	249674	141737
879	249928	141437
880	250208	141150
881	250460	140848
882	250745	140565
883	251001	140265
884	251284	139980
885	251536	139679
886	251822	139396
887	252070	139093
888	252346	138804
889	252596	138502
890	252886	138221
891	253146	137924
892	253450	137652
893	253709	137354
894	254006	137078
895	254261	136778
896	254553	136499
897	254812	136202
898	255101	135921
899	255361	135625
900	255644	135340
901	255944	135066
902	256207	134771
903	256483	134483
904	256740	134185
905	257018	133899
906	257271	133599
907	257545	133310
908	257826	133026
909	258118	132746
910	258371	132447
911	258644	132158
912	258894	131857
913	259181	131575
914	259432	131275
915	259722	130995
916	260019	130718
917	260334	130451
918	260587	130152
919	260876	129870
920	261174	129594
921	261433	129298
922	261690	129002
923	261973	128718
924	262262	128437
925	262519	128141
926	262808	127860
927	263060	127561
928	263340	127276
929	263590	126976
930	263874	126693
931	264123	126393
932	264401	126107
933	264654	125810
934	264982	125547
935	265232	125248
936	265528	124971
937	265781	124673
938	266071	124393
939	266324	124095
940	266620	123818
941	266879	123523
942	267169	123243
943	267425	122947
944	267726	122672
945	267984	122377
946	268282	122101
947	268573	121821
948	268834	121528
949	269208	121285
950	269482	120997
951	269819	120738
952	270114	120460
953	270413	120183
954	270702	119902
955	270961	119608
956	271230	119318
957	271486	119023
958	271773	118741
959	272028	118445
960	272305	118159
961	272564	117865
962	272896	117603
963	273152	117308
964	273437	117025
965	273686	116727
966	273977	116447
967	274229	116150
968	274511	115867
969	274770	115573
970	275062	115294
971	275325	115002
972	275613	114721
973	275865	114424
974	276172	114151
975	276426	113856
976	276713	113574
977	276994	113290
978	277252	112996
979	277506	112701
980	277792	112419
981	278074	112135
982	278329	111841
983	278586	111547
984	278854	111258
985	279134	110974
986	279387	110679
987	279663	110393
988	279920	110100
989	280216	109822
990	280471	109528
991	280760	109247
992	281018	108954
993	281316	108677
994	281570	108383
995	281856	108101
996	282105	107805
997	282392	107524
998	282642	107228
999	282921	106944
1000	283176	106650
1001	283474	106373
1002	283732	106081
1003	284022	105801
1004	284279	105508
1005	284574	105230
1006	284836	104939
1007	285121	104657
1008	285397	104372
1009	285657	104081
1010	285912	103788
1011	286196	103506
1012	286480	103223
1013	286738	102931
1014	286996	102640
1015	287259	102350
1016	287541	102067
1017	287800	101776
1018	288081	101492
1019	288332	101198
1020	288620	100918
1021	288868	100623
1022	289147	100339
1023	289400	100046
1024	289684	99764
1025	289936	99471
1026	290222	99189
1027	290478	98898
1028	290771	98619
1029	291034	98330
1030	291314	98046
1031	291565	97753
1032	291854	97473
1033	292106	97180
1034	292394	96899
1035	292649	96608
1036	292938	96327
1037	293188	96034
1038	293467	95751
1039	293716	95457
1040	294098	95207
1041	294357	94917
1042	294649	94638
1043	294935	94356
1044	295203	94069
1045	295487	93787
1046	295744	93497
1047	296037	93217
1048	296288	92925
1049	296571	92643
1050	296826	92352
1051	297117	92072
1052	297373	91782
1053	297662	91501
1054	297919	91211
1055	298215	90933
1056	298471	90642
1057	298765	90363
1058	299017	90072
1059	299306	89792
1060	299556	89499
1061	299838	89217
1062	300093	88926
1063	300390	88649
1064	300643	88358
1065	300938	88079
1066	301191	87788
1067	301480	87508
1068	301734	87217
1069	302020	86936
1070	302282	86648
1071	302602	86377
1072	302859	86087
1073	303137	85804
1074	303421	85522
1075	303673	85231
1076	303951	84948
1077	304208	84659
1078	304491	84377
1079	304748	84087
1080	305023	83803
1081	305282	83515
1082	305568	83234
1083	305824	82944
1084	306113	82664
1085	306368	82375
1086	306654	82094
1087	306902	81802
1088	307182	81520
1089	307437	81231
1090	307723	80950
1091	307974	80660
1092	308259	80378
1093	308516	80090
1094	308807	79810
1095	309057	79520
1096	309347	79240
1097	309601	78951
1098	309891	78671
1099	310142	78381
1100	310425	78099
1101	310675	77809
1102	310967	77530
1103	311220	77241
1104	311505	76960
1105	311759	76671
1106	312057	76393
1107	312319	76106
1108	312617	75828
1109	312879	75542
1110	313195	75268
1111	313452	74980
1112	313733	74698
1113	314019	74417
1114	314277	74130
1115	314567	73849
1116	314827	73563
1117	315120	73283
1118	315373	72995
1119	316153	72828
1120	316410	72540
1121	316688	72256
1122	316943	71968
1123	317220	71685
1124	317476	71396
1125	317759	71114
1126	318003	70824
1127	318280	70540
1128	318534	70252
1129	318814	69969
1130	319081	69684
1131	319367	69403
1132	319621	69114
1133	319910	68834
1134	320164	68546
1135	320451	68265
1136	320704	67976
1137	320998	67697
1138	321253	67409
1139	321540	67128
1140	321796	66841
1141	322085	66560
1142	322336	66272
1143	322624	65991
1144	322875	65702
1145	323166	65422
1146	323475	65146
1147	323805	64873
1148	324111	64596
1149	324365	64309
1150	324662	64029
1151	324928	63744
1152	325215	63463
1153	325471	63176
1154	325754	62894
1155	326006	62606
1156	326292	62325
1157	326544	62037
1158	326827	61756
1159	327082	61469
1160	327375	61189
1161	327633	60902
1162	327922	60622
1163	328172	60334
1164	328469	60054
1165	328733	59769
1166	329027	59489
1167	329280	59202
1168	329596	58927
1169	329851	58640
1170	330138	58359
1171	330390	58072
1172	330697	57794
1173	331160	57544
1174	331506	57273
1175	331865	57004
1176	332238	56737
1177	332669	56480
1178	332930	56194
1179	333263	55920
1180	333562	55640
1181	333837	55357
1182	334116	55074
1183	334425	54796
1184	334746	54519
1185	335031	54237
1186	335342	53959
1187	335629	53678
1188	335934	53399
1189	336217	53116
1190	336520	52837
1191	336797	52553
1192	337110	52276
1193	337387	51992
1194	337699	51714
1195	338001	51434
1196	338285	51152
1197	338591	50873
1198	338859	50588
1199	339201	50314
1200	339504	50035
1201	339830	49758
1202	340119	49477
1203	340376	49190
1204	340638	48904
1205	340917	48621
1206	341204	48339
1207	341459	48053
1208	341735	47769
1209	341992	47483
1210	342281	47201
1211	342537	46915
1212	342820	46632
1213	343101	46349
1214	343389	46067
1215	343642	45781
1216	343929	45499
1217	344182	45212
1218	344476	44931
1219	344733	44645
1220	345029	44364
1221	345285	44079
1222	345577	43797
1223	345836	43512
1224	346127	43230
1225	346384	42944
1226	346685	42664
1227	346943	42379
1228	347241	42098
1229	347506	41813
1230	347800	41532
1231	348071	41248
1232	348383	40969
1233	348679	40688
1234	348930	40402
1235	349205	40119
1236	349464	39833
1237	349743	39550
1238	350002	39265
1239	350291	38984
1240	350558	38699
1241	350851	38418
1242	351105	38132
1243	351394	37851
1244	351647	37565
1245	351933	37283
1246	352187	36998
1247	352473	36715
1248	352734	36431
1249	353057	36153
1250	353330	35869
1251	353618	35587
1252	353865	35301
1253	354168	35021
1254	354422	34736
1255	354713	34454
1256	354964	34169
1257	355258	33887
1258	355512	33602
1259	355814	33322
1260	356067	33037
1261	356364	32756
1262	356616	32471
1263	356902	32188
1264	357154	31903
1265	357442	31622
1266	357695	31337
1267	357990	31055
1268	358259	30772
1269	358526	30488
1270	358779	30204
1271	359065	29922
1272	359349	29640
1273	359618	29356
1274	359877	29072
1275	360147	28789
1276	360436	28507
1277	360692	28223
1278	360980	27941
1279	361233	27656
1280	361512	27374
1281	361767	27090
1282	362056	26808
1283	362320	26525
1284	362637	26245
1285	362891	25961
1286	363189	25680
1287	363441	25395
1288	363817	25120
1289	364087	24836
1290	364387	24555
1291	364675	24274
1292	364929	23989
1293	365201	23707
1294	365472	23424
1295	365758	23142
1296	366010	22858
1297	366292	22575
1298	366553	22292
1299	366844	22010
1300	367100	21726
1301	367405	21446
1302	367656	21162
1303	367953	20880
1304	368203	20596
1305	368498	20315
1306	368754	20031
1307	369044	19750
1308	369295	19466
1309	369589	19184
1310	369843	18901
1311	370131	18619
1312	370390	18336
1313	370689	18054
1314	370941	17771
1315	371235	17489
1316	371491	17206
1317	371795	16925
1318	372053	16642
1319	372357	16361
1320	372615	16078
1321	372917	15796
1322	373169	15513
1323	373470	15232
1324	373727	14949
1325	374557	14688
1326	374801	14404
1327	375084	14122
1328	375330	13838
1329	375618	13556
1330	375867	13272
1331	376164	12990
1332	376414	12707
1333	376704	12425
1334	376951	12141
1335	377232	11859
1336	377487	11575
1337	377789	11294
1338	378041	11010
1339	378329	10728
1340	378580	10445
1341	378880	10163
1342	379154	9881
1343	379428	9598
1344	379679	9315
1345	379978	9033
1346	380229	8750
1347	380520	8468
1348	380782	8185
1349	381074	7903
1350	381356	7621
1351	381609	7338
1352	381864	7055
1353	382137	6773
1354	382416	6491
1355	382669	6208
1356	382949	5926
1357	383210	5643
1358	383495	5361
1359	383751	5079
1360	384047	4797
1361	384317	4514
1362	384610	4232
1363	384870	3950
1364	385163	3668
1365	385422	3385
1366	385711	3103
1367	385974	2821
1368	386277	2539
1369	386535	2257
1370	386832	1975
1371	387100	1692
1372	387399	1410
1373	387648	1128
1374	387940	846
1375	388201	564
1376	388574	282
1377	388881	0
